channel,stage,users,rate
paid_ads,Visited Site,2383,100.0
paid_ads,Signed Up,672,28.2
paid_ads,Completed Onboarding,278,11.7
paid_ads,Activated Feature,118,5.0
paid_ads,Started Trial,51,2.1
paid_ads,Converted to Paid,9,0.4
organic_search,Visited Site,3456,100.0
organic_search,Signed Up,1416,41.0
organic_search,Completed Onboarding,831,24.0
organic_search,Activated Feature,542,15.7
organic_search,Started Trial,303,8.8
organic_search,Converted to Paid,122,3.5
social_media,Visited Site,1478,100.0
social_media,Signed Up,356,24.1
social_media,Completed Onboarding,110,7.4
social_media,Activated Feature,49,3.3
social_media,Started Trial,12,0.8
social_media,Converted to Paid,3,0.2
referral,Visited Site,1481,100.0
referral,Signed Up,712,48.1
referral,Completed Onboarding,502,33.9
referral,Activated Feature,384,25.9
referral,Started Trial,247,16.7
referral,Converted to Paid,115,7.8
unknown,Visited Site,218,100.0
unknown,Signed Up,83,38.1
unknown,Completed Onboarding,46,21.1
unknown,Activated Feature,33,15.1
unknown,Started Trial,18,8.3
unknown,Converted to Paid,7,3.2
direct,Visited Site,979,100.0
direct,Signed Up,393,40.1
direct,Completed Onboarding,217,22.2
direct,Activated Feature,129,13.2
direct,Started Trial,64,6.5
direct,Converted to Paid,21,2.1
