date,channel,device,country,visitors,signups,trial_users,paid_customers,mrr,visit_to_signup,signup_to_trial,trial_to_paid
2024-01-01,Organic,Mobile,USA,974,58,26,7,1540,0.059548254620123205,0.4482758620689655,0.2692307692307692
2024-01-01,Google,Desktop,Australia,639,35,14,3,660,0.054773082942097026,0.4,0.21428571428571427
2024-01-01,LinkedIn,Tablet,Germany,476,42,23,8,2800,0.08823529411764706,0.5476190476190477,0.34782608695652173
2024-01-01,Facebook,Desktop,Germany,565,22,7,1,180,0.03893805309734513,0.3181818181818182,0.14285714285714285
2024-01-01,Referral,Desktop,India,154,12,6,2,600,0.07792207792207792,0.5,0.3333333333333333
2024-01-01,Email,Desktop,Germany,50,3,1,0,0,0.06,0.3333333333333333,0.0
2024-01-01,Direct,Tablet,India,273,13,5,1,250,0.047619047619047616,0.38461538461538464,0.2
2024-01-01,Partner,Mobile,Australia,50,5,3,1,400,0.1,0.6,0.3333333333333333
2024-01-02,Organic,Mobile,USA,855,51,22,6,1320,0.05964912280701754,0.43137254901960786,0.2727272727272727
2024-01-02,Google,Desktop,Germany,655,36,14,3,660,0.0549618320610687,0.3888888888888889,0.21428571428571427
2024-01-02,LinkedIn,Mobile,UK,356,32,17,5,1750,0.0898876404494382,0.53125,0.29411764705882354
2024-01-02,Facebook,Desktop,Germany,284,11,3,0,0,0.03873239436619718,0.2727272727272727,0.0
2024-01-02,Referral,Desktop,USA,271,21,10,3,900,0.07749077490774908,0.47619047619047616,0.3
2024-01-02,Email,Mobile,Germany,50,3,1,0,0,0.06,0.3333333333333333,0.0
2024-01-02,Direct,Desktop,India,350,17,6,1,250,0.04857142857142857,0.35294117647058826,0.16666666666666666
2024-01-02,Partner,Mobile,Australia,145,14,8,3,1200,0.09655172413793103,0.5714285714285714,0.375
2024-01-03,Organic,Desktop,Germany,1016,60,27,7,1540,0.05905511811023622,0.45,0.25925925925925924
2024-01-03,Google,Desktop,Australia,579,31,12,3,660,0.0535405872193437,0.3870967741935484,0.25
2024-01-03,LinkedIn,Mobile,India,138,12,6,2,700,0.08695652173913043,0.5,0.3333333333333333
2024-01-03,Facebook,Mobile,UK,541,21,7,1,180,0.038817005545286505,0.3333333333333333,0.14285714285714285
2024-01-03,Referral,Mobile,Germany,208,16,8,3,900,0.07692307692307693,0.5,0.375
2024-01-03,Email,Desktop,Australia,56,3,1,0,0,0.05357142857142857,0.3333333333333333,0.0
2024-01-03,Direct,Desktop,Australia,361,18,7,1,250,0.04986149584487535,0.3888888888888889,0.14285714285714285
2024-01-03,Partner,Mobile,Australia,323,32,19,7,2800,0.09907120743034056,0.59375,0.3684210526315789
2024-01-04,Organic,Desktop,USA,1124,67,30,8,1760,0.059608540925266906,0.44776119402985076,0.26666666666666666
2024-01-04,Google,Desktop,India,710,39,15,3,660,0.054929577464788736,0.38461538461538464,0.2
2024-01-04,LinkedIn,Desktop,Australia,253,22,12,4,1400,0.08695652173913043,0.5454545454545454,0.3333333333333333
2024-01-04,Facebook,Desktop,Australia,151,6,2,0,0,0.039735099337748346,0.3333333333333333,0.0
2024-01-04,Referral,Mobile,Australia,208,16,8,3,900,0.07692307692307693,0.5,0.375
2024-01-04,Email,Desktop,Germany,85,5,2,0,0,0.058823529411764705,0.4,0.0
2024-01-04,Direct,Desktop,USA,160,8,3,0,0,0.05,0.375,0.0
2024-01-04,Partner,Desktop,India,196,19,11,4,1600,0.09693877551020408,0.5789473684210527,0.36363636363636365
2024-01-05,Organic,Desktop,UK,1027,61,27,7,1540,0.05939629990262902,0.4426229508196721,0.25925925925925924
2024-01-05,Google,Desktop,India,463,25,10,2,440,0.05399568034557235,0.4,0.2
2024-01-05,LinkedIn,Desktop,UK,531,47,25,8,2800,0.08851224105461393,0.5319148936170213,0.32
2024-01-05,Facebook,Desktop,India,426,17,5,1,180,0.03990610328638498,0.29411764705882354,0.2
2024-01-05,Referral,Desktop,USA,140,11,5,1,300,0.07857142857142857,0.45454545454545453,0.2
2024-01-05,Email,Desktop,India,128,8,3,0,0,0.0625,0.375,0.0
2024-01-05,Direct,Mobile,USA,173,8,3,0,0,0.046242774566473986,0.375,0.0
2024-01-05,Partner,Desktop,Germany,107,10,6,2,800,0.09345794392523364,0.6,0.3333333333333333
2024-01-06,Organic,Mobile,Australia,867,52,23,6,1320,0.05997693194925029,0.4423076923076923,0.2608695652173913
2024-01-06,Google,Mobile,UK,556,30,12,3,660,0.0539568345323741,0.4,0.25
2024-01-06,LinkedIn,Desktop,Australia,316,28,15,5,1750,0.08860759493670886,0.5357142857142857,0.3333333333333333
2024-01-06,Facebook,Desktop,Germany,531,21,7,1,180,0.03954802259887006,0.3333333333333333,0.14285714285714285
2024-01-06,Referral,Mobile,Germany,241,19,9,3,900,0.07883817427385892,0.47368421052631576,0.3333333333333333
2024-01-06,Email,Desktop,USA,95,6,2,0,0,0.06315789473684211,0.3333333333333333,0.0
2024-01-06,Direct,Desktop,USA,312,15,6,1,250,0.04807692307692308,0.4,0.16666666666666666
2024-01-06,Partner,Mobile,USA,258,25,15,6,2400,0.09689922480620156,0.6,0.4
2024-01-07,Organic,Tablet,Germany,901,54,24,6,1320,0.05993340732519423,0.4444444444444444,0.25
2024-01-07,Google,Mobile,India,716,39,15,3,660,0.05446927374301676,0.38461538461538464,0.2
2024-01-07,LinkedIn,Mobile,India,384,34,18,6,2100,0.08854166666666667,0.5294117647058824,0.3333333333333333
2024-01-07,Facebook,Desktop,Germany,290,11,3,0,0,0.03793103448275862,0.2727272727272727,0.0
2024-01-07,Referral,Desktop,UK,273,21,10,3,900,0.07692307692307693,0.47619047619047616,0.3
2024-01-07,Email,Desktop,USA,277,19,8,2,480,0.06859205776173286,0.42105263157894735,0.25
2024-01-07,Direct,Desktop,Germany,50,2,0,0,0,0.04,0.0,
