date,channel,spend
2024-01-01,Organic,1108.6
2024-01-01,Google,230.42
2024-01-01,LinkedIn,84.63
2024-01-01,Facebook,800.63
2024-01-01,Referral,132.2
2024-01-01,Email,42.92
2024-01-01,Direct,181.91
2024-01-01,Partner,10.64
2024-01-02,Organic,1215.79
2024-01-02,Google,367.6
2024-01-02,LinkedIn,346.56
2024-01-02,Facebook,391.23
2024-01-02,Referral,240.66
2024-01-02,Email,59.82
2024-01-02,Direct,94.31
2024-01-02,Partner,209.9
2024-01-03,Organic,641.72
2024-01-03,Google,302.58
2024-01-03,LinkedIn,21.73
2024-01-03,Facebook,600.68
2024-01-03,Referral,63.74
2024-01-03,Email,33.42
2024-01-03,Direct,486.53
2024-01-03,Partner,472.17
2024-01-04,Organic,917.89
2024-01-04,Google,130.86
2024-01-04,LinkedIn,347.93
2024-01-04,Facebook,132.7
2024-01-04,Referral,76.47
2024-01-04,Email,46.67
2024-01-04,Direct,216.79
2024-01-04,Partner,61.7
2024-01-05,Organic,154.77
2024-01-05,Google,73.8
2024-01-05,LinkedIn,272.78
2024-01-05,Facebook,249.77
2024-01-05,Referral,68.99
2024-01-05,Email,142.28
2024-01-05,Direct,106.54
2024-01-05,Partner,92.74
2024-01-06,Organic,413.49
2024-01-06,Google,558.01
2024-01-06,LinkedIn,111.7
2024-01-06,Facebook,694.96
2024-01-06,Referral,109.84
2024-01-06,Email,134.87
2024-01-06,Direct,356.47
2024-01-06,Partner,128.54
2024-01-07,Organic,452.41
2024-01-07,Google,647.05
2024-01-07,LinkedIn,496.51
2024-01-07,Facebook,294.86
2024-01-07,Referral,44.34
2024-01-07,Email,405.65
2024-01-07,Direct,74.63
2024-01-07,Partner,23.51
2024-01-08,Organic,1236.72
2024-01-08,Google,459.46
2024-01-08,LinkedIn,276.9
2024-01-08,Facebook,413.33
2024-01-08,Referral,220.41
2024-01-08,Email,74.63
2024-01-08,Direct,415.19
2024-01-08,Partner,179.91
2024-01-09,Organic,1002.85
2024-01-09,Google,389.53
2024-01-09,LinkedIn,212.45
2024-01-09,Facebook,382.99
2024-01-09,Referral,270.68
2024-01-09,Email,62.18
2024-01-09,Direct,15.24
2024-01-09,Partner,261.31
2024-01-10,Organic,183.43
2024-01-10,Google,681.04
2024-01-10,LinkedIn,90.63
2024-01-10,Facebook,579.78
2024-01-10,Referral,200.26
2024-01-10,Email,72.94
2024-01-10,Direct,103.97
2024-01-10,Partner,98.52
2024-01-11,Organic,1169.39
2024-01-11,Google,711.18
2024-01-11,LinkedIn,288.84
2024-01-11,Facebook,637.16
2024-01-11,Referral,37.96
2024-01-11,Email,42.54
2024-01-11,Direct,19.19
2024-01-11,Partner,49.07
2024-01-12,Organic,790.34
2024-01-12,Google,143.62
2024-01-12,LinkedIn,305.86
2024-01-12,Facebook,535.5
2024-01-12,Referral,135.14
2024-01-12,Email,88.39
2024-01-12,Direct,51.76
2024-01-12,Partner,52.07
2024-01-13,Organic,739.34
2024-01-13,Google,466.39
2024-01-13,LinkedIn,399.03
2024-01-13,Facebook,223.71
2024-01-13,Referral,406.7
2024-01-13,Email,43.57
2024-01-13,Direct,230.99
2024-01-13,Partner,94.44
2024-01-14,Organic,895.91
2024-01-14,Google,735.05
2024-01-14,LinkedIn,90.95
2024-01-14,Facebook,405.86
2024-01-14,Referral,492.46
2024-01-14,Email,100.91
2024-01-14,Direct,44.71
2024-01-14,Partner,100.16
2024-01-15,Organic,705.66
2024-01-15,Google,741.15
2024-01-15,LinkedIn,64.51
2024-01-15,Facebook,193.25
2024-01-15,Referral,172.25
2024-01-15,Email,171.43
2024-01-15,Direct,372.63
2024-01-15,Partner,290.71
2024-01-16,Organic,1186.53
2024-01-16,Google,702.41
2024-01-16,LinkedIn,65.14
2024-01-16,Facebook,321.26
2024-01-16,Referral,60.11
2024-01-16,Email,26.38
2024-01-16,Direct,144.87
2024-01-16,Partner,137.51
2024-01-17,Organic,1325.78
2024-01-17,Google,767.85
2024-01-17,LinkedIn,302.84
2024-01-17,Facebook,446.05
2024-01-17,Referral,237.01
2024-01-17,Email,69.29
2024-01-17,Direct,67.99
2024-01-17,Partner,464.46
2024-01-18,Organic,670.9
2024-01-18,Google,732.87
2024-01-18,LinkedIn,372.35
2024-01-18,Facebook,319.56
2024-01-18,Referral,202.56
2024-01-18,Email,414.09
2024-01-18,Direct,84.98
2024-01-18,Partner,60.4
2024-01-19,Organic,495.77
2024-01-19,Google,402.97
2024-01-19,LinkedIn,71.6
2024-01-19,Facebook,147.79
2024-01-19,Referral,278.03
2024-01-19,Email,102.04
2024-01-19,Direct,62.23
2024-01-19,Partner,43.57
2024-01-20,Organic,492.43
2024-01-20,Google,579.16
2024-01-20,LinkedIn,425.78
2024-01-20,Facebook,418.63
2024-01-20,Referral,498.58
2024-01-20,Email,14.73
2024-01-20,Direct,124.86
2024-01-20,Partner,109.22
2024-01-21,Organic,627.15
2024-01-21,Google,395.81
2024-01-21,LinkedIn,503.43
2024-01-21,Facebook,421.23
2024-01-21,Referral,141.84
2024-01-21,Email,14.37
2024-01-21,Direct,56.42
2024-01-21,Partner,177.4
2024-01-22,Organic,771.54
2024-01-22,Google,536.74
2024-01-22,LinkedIn,613.42
2024-01-22,Facebook,688.62
2024-01-22,Referral,71.93
2024-01-22,Email,37.17
2024-01-22,Direct,429.35
2024-01-22,Partner,31.05
2024-01-23,Organic,365.06
2024-01-23,Google,865.79
2024-01-23,LinkedIn,447.43
2024-01-23,Facebook,571.17
2024-01-23,Referral,389.15
2024-01-23,Email,49.63
2024-01-23,Direct,193.13
2024-01-23,Partner,76.81
2024-01-24,Organic,229.18
2024-01-24,Google,680.44
2024-01-24,LinkedIn,94.76
2024-01-24,Facebook,99.59
2024-01-24,Referral,140.42
2024-01-24,Email,110.44
2024-01-24,Direct,61.08
2024-01-24,Partner,574.8
2024-01-25,Organic,1275.04
2024-01-25,Google,1278.81
2024-01-25,LinkedIn,351.68
2024-01-25,Facebook,375.93
2024-01-25,Referral,36.21
2024-01-25,Email,482.83
2024-01-25,Direct,235.16
