date,channel,onboarded
2024-01-01,Organic,47
2024-01-01,Google,28
2024-01-01,LinkedIn,35
2024-01-01,Facebook,16
2024-01-01,Referral,9
2024-01-01,Email,2
2024-01-01,Direct,10
2024-01-01,Partner,4
2024-01-02,Organic,41
2024-01-02,Google,28
2024-01-02,LinkedIn,27
2024-01-02,Facebook,8
2024-01-02,Referral,17
2024-01-02,Email,2
2024-01-02,Direct,13
2024-01-02,Partner,12
2024-01-03,Organic,49
2024-01-03,Google,24
2024-01-03,LinkedIn,10
2024-01-03,Facebook,15
2024-01-03,Referral,13
2024-01-03,Email,2
2024-01-03,Direct,14
2024-01-03,Partner,27
2024-01-04,Organic,54
2024-01-04,Google,31
2024-01-04,LinkedIn,18
2024-01-04,Facebook,4
2024-01-04,Referral,13
2024-01-04,Email,4
2024-01-04,Direct,6
2024-01-04,Partner,16
2024-01-05,Organic,50
2024-01-05,Google,20
2024-01-05,LinkedIn,39
2024-01-05,Facebook,12
2024-01-05,Referral,9
2024-01-05,Email,6
2024-01-05,Direct,6
2024-01-05,Partner,8
2024-01-06,Organic,42
2024-01-06,Google,24
2024-01-06,LinkedIn,23
2024-01-06,Facebook,15
2024-01-06,Referral,15
2024-01-06,Email,4
2024-01-06,Direct,11
2024-01-06,Partner,21
2024-01-07,Organic,44
2024-01-07,Google,31
2024-01-07,LinkedIn,28
2024-01-07,Facebook,8
2024-01-07,Referral,17
2024-01-07,Email,15
2024-01-07,Direct,1
2024-01-07,Partner,4
2024-01-08,Organic,54
2024-01-08,Google,24
2024-01-08,LinkedIn,28
2024-01-08,Facebook,12
2024-01-08,Referral,15
2024-01-08,Email,2
2024-01-08,Direct,10
2024-01-08,Partner,16
2024-01-09,Organic,37
2024-01-09,Google,18
2024-01-09,LinkedIn,25
2024-01-09,Facebook,8
2024-01-09,Referral,19
2024-01-09,Email,2
2024-01-09,Direct,2
2024-01-09,Partner,16
2024-01-10,Organic,45
2024-01-10,Google,23
2024-01-10,LinkedIn,7
2024-01-10,Facebook,11
2024-01-10,Referral,11
2024-01-10,Email,2
2024-01-10,Direct,5
2024-01-10,Partner,20
2024-01-11,Organic,41
2024-01-11,Google,29
2024-01-11,LinkedIn,22
2024-01-11,Facebook,20
2024-01-11,Referral,8
2024-01-11,Email,5
2024-01-11,Direct,1
2024-01-11,Partner,4
2024-01-12,Organic,44
2024-01-12,Google,33
2024-01-12,LinkedIn,24
2024-01-12,Facebook,18
2024-01-12,Referral,20
2024-01-12,Email,16
2024-01-12,Direct,1
2024-01-12,Partner,24
2024-01-13,Organic,58
2024-01-13,Google,28
2024-01-13,LinkedIn,23
2024-01-13,Facebook,9
2024-01-13,Referral,23
2024-01-13,Email,2
2024-01-13,Direct,13
2024-01-13,Partner,6
2024-01-14,Organic,58
2024-01-14,Google,36
2024-01-14,LinkedIn,24
2024-01-14,Facebook,15
2024-01-14,Referral,24
2024-01-14,Email,12
2024-01-14,Direct,6
2024-01-14,Partner,12
2024-01-15,Organic,31
2024-01-15,Google,36
2024-01-15,LinkedIn,9
2024-01-15,Facebook,4
2024-01-15,Referral,24
2024-01-15,Email,17
2024-01-15,Direct,9
2024-01-15,Partner,22
2024-01-16,Organic,38
2024-01-16,Google,22
2024-01-16,LinkedIn,7
2024-01-16,Facebook,12
2024-01-16,Referral,7
2024-01-16,Email,2
2024-01-16,Direct,3
2024-01-16,Partner,16
2024-01-17,Organic,49
2024-01-17,Google,28
2024-01-17,LinkedIn,34
2024-01-17,Facebook,9
2024-01-17,Referral,17
2024-01-17,Email,4
2024-01-17,Direct,5
2024-01-17,Partner,27
2024-01-18,Organic,51
2024-01-18,Google,39
2024-01-18,LinkedIn,31
2024-01-18,Facebook,13
2024-01-18,Referral,30
2024-01-18,Email,15
2024-01-18,Direct,2
2024-01-18,Partner,4
2024-01-19,Organic,31
2024-01-19,Google,28
2024-01-19,LinkedIn,16
2024-01-19,Facebook,12
2024-01-19,Referral,23
2024-01-19,Email,5
2024-01-19,Direct,6
2024-01-19,Partner,4
2024-01-20,Organic,41
2024-01-20,Google,23
2024-01-20,LinkedIn,28
2024-01-20,Facebook,10
2024-01-20,Referral,24
2024-01-20,Email,2
2024-01-20,Direct,3
2024-01-20,Partner,6
2024-01-21,Organic,38
2024-01-21,Google,20
2024-01-21,LinkedIn,41
2024-01-21,Facebook,19
2024-01-21,Referral,15
2024-01-21,Email,2
2024-01-21,Direct,13
2024-01-21,Partner,12
2024-01-22,Organic,31
2024-01-22,Google,32
2024-01-22,LinkedIn,39
2024-01-22,Facebook,14
2024-01-22,Referral,14
2024-01-22,Email,4
2024-01-22,Direct,14
2024-01-22,Partner,4
2024-01-23,Organic,45
2024-01-23,Google,29
2024-01-23,LinkedIn,26
2024-01-23,Facebook,15
2024-01-23,Referral,24
2024-01-23,Email,2
2024-01-23,Direct,10
2024-01-23,Partner,6
2024-01-24,Organic,32
2024-01-24,Google,36
2024-01-24,LinkedIn,11
2024-01-24,Facebook,15
2024-01-24,Referral,31
2024-01-24,Email,8
2024-01-24,Direct,3
2024-01-24,Partner,48
2024-01-25,Organic,49
2024-01-25,Google,39
2024-01-25,LinkedIn,28
2024-01-25,Facebook,9
2024-01-25,Referral,9
2024-01-25,Email,19
2024-01-25,Direct,9
2024-01-25,Partner,24
2024-01-26,Organic,50
2024-01-26,Google,13
2024-01-26,LinkedIn,22
2024-01-26,Facebook,6
2024-01-26,Referral,12
2024-01-26,Email,2
2024-01-26,Direct,10
2024-01-26,Partner,7
2024-01-27,Organic,54
2024-01-27,Google,11
2024-01-27,LinkedIn,19
2024-01-27,Facebook,12
2024-01-27,Referral,27
2024-01-27,Email,2
2024-01-27,Direct,11
2024-01-27,Partner,4
2024-01-28,Organic,31
2024-01-28,Google,22
2024-01-28,LinkedIn,22
2024-01-28,Facebook,17
2024-01-28,Referral,12
2024-01-28,Email,7
2024-01-28,Direct,10
2024-01-28,Partner,4
2024-01-29,Organic,59
2024-01-29,Google,32
2024-01-29,LinkedIn,11
2024-01-29,Facebook,9
2024-01-29,Referral,35
2024-01-29,Email,13
2024-01-29,Direct,18
2024-01-29,Partner,30
2024-01-30,Organic,30
2024-01-30,Google,22
2024-01-30,LinkedIn,15
2024-01-30,Facebook,18
2024-01-30,Referral,3
2024-01-30,Email,7
2024-01-30,Direct,10
2024-01-30,Partner,4
2024-01-31,Organic,37
2024-01-31,Google,28
2024-01-31,LinkedIn,28
2024-01-31,Facebook,10
2024-01-31,Referral,23
2024-01-31,Email,12
2024-01-31,Direct,14
2024-01-31,Partner,12
2024-02-01,Organic,43
2024-02-01,Google,32
2024-02-01,LinkedIn,7
2024-02-01,Facebook,25
2024-02-01,Referral,35
2024-02-01,Email,12
2024-02-01,Direct,9
2024-02-01,Partner,23
2024-02-02,Organic,63
2024-02-02,Google,24
2024-02-02,LinkedIn,12
2024-02-02,Facebook,12
2024-02-02,Referral,13
2024-02-02,Email,2
2024-02-02,Direct,8
2024-02-02,Partner,10
2024-02-03,Organic,40
2024-02-03,Google,24
2024-02-03,LinkedIn,46
2024-02-03,Facebook,15
2024-02-03,Referral,9
2024-02-03,Email,13
2024-02-03,Direct,7
2024-02-03,Partner,17
2024-02-04,Organic,37
2024-02-04,Google,29
2024-02-04,LinkedIn,25
2024-02-04,Facebook,8
2024-02-04,Referral,34
2024-02-04,Email,15
2024-02-04,Direct,14
2024-02-04,Partner,16
2024-02-05,Organic,43
2024-02-05,Google,32
2024-02-05,LinkedIn,22
2024-02-05,Facebook,15
2024-02-05,Referral,12
2024-02-05,Email,2
2024-02-05,Direct,16
2024-02-05,Partner,4
2024-02-06,Organic,51
2024-02-06,Google,21
2024-02-06,LinkedIn,22
2024-02-06,Facebook,10
2024-02-06,Referral,3
2024-02-06,Email,2
2024-02-06,Direct,1
2024-02-06,Partner,21
2024-02-07,Organic,34
2024-02-07,Google,39
2024-02-07,LinkedIn,3
2024-02-07,Facebook,19
2024-02-07,Referral,14
2024-02-07,Email,2
2024-02-07,Direct,18
2024-02-07,Partner,29
2024-02-08,Organic,50
2024-02-08,Google,24
2024-02-08,LinkedIn,27
2024-02-08,Facebook,15
2024-02-08,Referral,12
2024-02-08,Email,8
2024-02-08,Direct,9
2024-02-08,Partner,4
2024-02-09,Organic,50
2024-02-09,Google,32
2024-02-09,LinkedIn,38
2024-02-09,Facebook,15
2024-02-09,Referral,16
2024-02-09,Email,16
2024-02-09,Direct,12
2024-02-09,Partner,30
2024-02-10,Organic,48
2024-02-10,Google,31
2024-02-10,LinkedIn,5
2024-02-10,Facebook,15
2024-02-10,Referral,24
2024-02-10,Email,15
2024-02-10,Direct,10
2024-02-10,Partner,23
2024-02-11,Organic,34
2024-02-11,Google,18
2024-02-11,LinkedIn,21
2024-02-11,Facebook,12
2024-02-11,Referral,8
2024-02-11,Email,10
2024-02-11,Direct,6
2024-02-11,Partner,14
2024-02-12,Organic,58
2024-02-12,Google,24
2024-02-12,LinkedIn,34
2024-02-12,Facebook,6
2024-02-12,Referral,17
2024-02-12,Email,16
2024-02-12,Direct,13
2024-02-12,Partner,8
2024-02-13,Organic,50
2024-02-13,Google,31
2024-02-13,LinkedIn,9
2024-02-13,Facebook,15
2024-02-13,Referral,14
2024-02-13,Email,8
2024-02-13,Direct,2
2024-02-13,Partner,18
2024-02-14,Organic,43
2024-02-14,Google,30
2024-02-14,LinkedIn,3
2024-02-14,Facebook,9
2024-02-14,Referral,14
