date,channel,paid_customers,mrr
2024-01-01,Organic,7,1540
2024-01-01,Google,3,660
2024-01-01,LinkedIn,8,2800
2024-01-01,Facebook,1,180
2024-01-01,Referral,2,600
2024-01-01,Email,0,0
2024-01-01,Direct,1,250
2024-01-01,Partner,1,400
2024-01-02,Organic,6,1320
2024-01-02,Google,3,660
2024-01-02,LinkedIn,5,1750
2024-01-02,Facebook,0,0
2024-01-02,Referral,3,900
2024-01-02,Email,0,0
2024-01-02,Direct,1,250
2024-01-02,Partner,3,1200
2024-01-03,Organic,7,1540
2024-01-03,Google,3,660
2024-01-03,LinkedIn,2,700
2024-01-03,Facebook,1,180
2024-01-03,Referral,3,900
2024-01-03,Email,0,0
2024-01-03,Direct,1,250
2024-01-03,Partner,7,2800
2024-01-04,Organic,8,1760
2024-01-04,Google,3,660
2024-01-04,LinkedIn,4,1400
2024-01-04,Facebook,0,0
2024-01-04,Referral,3,900
2024-01-04,Email,0,0
2024-01-04,Direct,0,0
2024-01-04,Partner,4,1600
2024-01-05,Organic,7,1540
2024-01-05,Google,2,440
2024-01-05,LinkedIn,8,2800
2024-01-05,Facebook,1,180
2024-01-05,Referral,1,300
2024-01-05,Email,0,0
2024-01-05,Direct,0,0
2024-01-05,Partner,2,800
2024-01-06,Organic,6,1320
2024-01-06,Google,3,660
2024-01-06,LinkedIn,5,1750
2024-01-06,Facebook,1,180
2024-01-06,Referral,3,900
2024-01-06,Email,0,0
2024-01-06,Direct,1,250
2024-01-06,Partner,6,2400
2024-01-07,Organic,6,1320
2024-01-07,Google,3,660
2024-01-07,LinkedIn,6,2100
2024-01-07,Facebook,0,0
2024-01-07,Referral,3,900
2024-01-07,Email,2,480
2024-01-07,Direct,0,0
2024-01-07,Partner,1,400
2024-01-08,Organic,8,1760
2024-01-08,Google,3,660
2024-01-08,LinkedIn,6,2100
2024-01-08,Facebook,1,180
2024-01-08,Referral,3,900
2024-01-08,Email,0,0
2024-01-08,Direct,1,250
2024-01-08,Partner,4,1600
2024-01-09,Organic,5,1100
2024-01-09,Google,2,440
2024-01-09,LinkedIn,5,1750
2024-01-09,Facebook,0,0
2024-01-09,Referral,4,1200
2024-01-09,Email,0,0
2024-01-09,Direct,0,0
2024-01-09,Partner,4,1600
2024-01-10,Organic,6,1320
2024-01-10,Google,2,440
2024-01-10,LinkedIn,1,350
2024-01-10,Facebook,1,180
2024-01-10,Referral,2,600
2024-01-10,Email,0,0
2024-01-10,Direct,0,0
2024-01-10,Partner,5,2000
2024-01-11,Organic,6,1320
2024-01-11,Google,3,660
2024-01-11,LinkedIn,4,1400
2024-01-11,Facebook,1,180
2024-01-11,Referral,1,300
2024-01-11,Email,0,0
2024-01-11,Direct,0,0
2024-01-11,Partner,1,400
2024-01-12,Organic,6,1320
