date,channel,profile_completed
2024-01-01,Organic,37
2024-01-01,Google,21
2024-01-01,LinkedIn,28
2024-01-01,Facebook,11
2024-01-01,Referral,7
2024-01-01,Email,1
2024-01-01,Direct,7
2024-01-01,Partner,3
2024-01-02,Organic,32
2024-01-02,Google,21
2024-01-02,LinkedIn,22
2024-01-02,Facebook,5
2024-01-02,Referral,13
2024-01-02,Email,1
2024-01-02,Direct,9
2024-01-02,Partner,9
2024-01-03,Organic,39
2024-01-03,Google,18
2024-01-03,LinkedIn,8
2024-01-03,Facebook,10
2024-01-03,Referral,10
2024-01-03,Email,1
2024-01-03,Direct,10
2024-01-03,Partner,22
2024-01-04,Organic,43
2024-01-04,Google,24
2024-01-04,LinkedIn,14
2024-01-04,Facebook,2
2024-01-04,Referral,10
2024-01-04,Email,3
2024-01-04,Direct,4
2024-01-04,Partner,13
2024-01-05,Organic,40
2024-01-05,Google,15
2024-01-05,LinkedIn,31
2024-01-05,Facebook,8
2024-01-05,Referral,7
2024-01-05,Email,4
2024-01-05,Direct,4
2024-01-05,Partner,6
2024-01-06,Organic,33
2024-01-06,Google,18
2024-01-06,LinkedIn,18
2024-01-06,Facebook,10
2024-01-06,Referral,12
2024-01-06,Email,3
2024-01-06,Direct,8
2024-01-06,Partner,17
2024-01-07,Organic,35
2024-01-07,Google,24
2024-01-07,LinkedIn,22
2024-01-07,Facebook,5
2024-01-07,Referral,13
2024-01-07,Email,11
2024-01-07,Direct,0
2024-01-07,Partner,3
2024-01-08,Organic,43
2024-01-08,Google,18
2024-01-08,LinkedIn,22
2024-01-08,Facebook,8
2024-01-08,Referral,12
2024-01-08,Email,1
2024-01-08,Direct,7
2024-01-08,Partner,13
2024-01-09,Organic,29
2024-01-09,Google,14
2024-01-09,LinkedIn,20
2024-01-09,Facebook,5
2024-01-09,Referral,15
2024-01-09,Email,1
2024-01-09,Direct,1
2024-01-09,Partner,13
2024-01-10,Organic,36
2024-01-10,Google,17
2024-01-10,LinkedIn,5
2024-01-10,Facebook,8
2024-01-10,Referral,8
2024-01-10,Email,1
2024-01-10,Direct,3
2024-01-10,Partner,16
2024-01-11,Organic,32
2024-01-11,Google,22
2024-01-11,LinkedIn,18
2024-01-11,Facebook,14
2024-01-11,Referral,6
2024-01-11,Email,3
2024-01-11,Direct,0
2024-01-11,Partner,3
2024-01-12,Organic,35
2024-01-12,Google,25
2024-01-12,LinkedIn,19
2024-01-12,Facebook,13
2024-01-12,Referral,16
2024-01-12,Email,12
2024-01-12,Direct,0
2024-01-12,Partner,19
2024-01-13,Organic,46
2024-01-13,Google,21
2024-01-13,LinkedIn,18
2024-01-13,Facebook,6
2024-01-13,Referral,18
2024-01-13,Email,1
2024-01-13,Direct,9
2024-01-13,Partner,4
2024-01-14,Organic,46
2024-01-14,Google,28
2024-01-14,LinkedIn,19
2024-01-14,Facebook,10
2024-01-14,Referral,19
2024-01-14,Email,9
2024-01-14,Direct,4
2024-01-14,Partner,9
2024-01-15,Organic,24
2024-01-15,Google,28
2024-01-15,LinkedIn,7
