date,channel,signups
2024-01-01,Organic,58
2024-01-01,Google,35
2024-01-01,LinkedIn,42
2024-01-01,Facebook,22
2024-01-01,Referral,12
2024-01-01,Email,3
2024-01-01,Direct,13
2024-01-01,Partner,5
2024-01-02,Organic,51
2024-01-02,Google,36
2024-01-02,LinkedIn,32
2024-01-02,Facebook,11
2024-01-02,Referral,21
2024-01-02,Email,3
2024-01-02,Direct,17
2024-01-02,Partner,14
2024-01-03,Organic,60
2024-01-03,Google,31
2024-01-03,LinkedIn,12
2024-01-03,Facebook,21
2024-01-03,Referral,16
2024-01-03,Email,3
2024-01-03,Direct,18
2024-01-03,Partner,32
2024-01-04,Organic,67
2024-01-04,Google,39
2024-01-04,LinkedIn,22
2024-01-04,Facebook,6
2024-01-04,Referral,16
2024-01-04,Email,5
2024-01-04,Direct,8
2024-01-04,Partner,19
2024-01-05,Organic,61
2024-01-05,Google,25
2024-01-05,LinkedIn,47
2024-01-05,Facebook,17
2024-01-05,Referral,11
2024-01-05,Email,8
2024-01-05,Direct,8
2024-01-05,Partner,10
2024-01-06,Organic,52
2024-01-06,Google,30
2024-01-06,LinkedIn,28
2024-01-06,Facebook,21
2024-01-06,Referral,19
2024-01-06,Email,6
2024-01-06,Direct,15
2024-01-06,Partner,25
2024-01-07,Organic,54
2024-01-07,Google,39
2024-01-07,LinkedIn,34
2024-01-07,Facebook,11
2024-01-07,Referral,21
2024-01-07,Email,19
2024-01-07,Direct,2
2024-01-07,Partner,5
2024-01-08,Organic,66
2024-01-08,Google,30
2024-01-08,LinkedIn,33
2024-01-08,Facebook,17
2024-01-08,Referral,19
2024-01-08,Email,3
2024-01-08,Direct,14
2024-01-08,Partner,19
2024-01-09,Organic,46
2024-01-09,Google,23
2024-01-09,LinkedIn,30
2024-01-09,Facebook,11
2024-01-09,Referral,24
2024-01-09,Email,3
2024-01-09,Direct,3
2024-01-09,Partner,19
2024-01-10,Organic,55
2024-01-10,Google,29
2024-01-10,LinkedIn,9
2024-01-10,Facebook,15
2024-01-10,Referral,14
2024-01-10,Email,3
2024-01-10,Direct,7
2024-01-10,Partner,24
2024-01-11,Organic,50
2024-01-11,Google,37
2024-01-11,LinkedIn,26
2024-01-11,Facebook,27
2024-01-11,Referral,10
2024-01-11,Email,7
2024-01-11,Direct,2
2024-01-11,Partner,5
2024-01-12,Organic,54
2024-01-12,Google,42
2024-01-12,LinkedIn,29
2024-01-12,Facebook,24
2024-01-12,Referral,25
2024-01-12,Email,21
2024-01-12,Direct,2
2024-01-12,Partner,28
2024-01-13,Organic,71
2024-01-13,Google,35
2024-01-13,LinkedIn,28
2024-01-13,Facebook,13
2024-01-13,Referral,28
