date,channel,trial_users
2024-01-01,Organic,26
2024-01-01,Google,14
2024-01-01,LinkedIn,23
2024-01-01,Facebook,7
2024-01-01,Referral,6
2024-01-01,Email,1
2024-01-01,Direct,5
2024-01-01,Partner,3
2024-01-02,Organic,22
2024-01-02,Google,14
2024-01-02,LinkedIn,17
2024-01-02,Facebook,3
2024-01-02,Referral,10
2024-01-02,Email,1
2024-01-02,Direct,6
2024-01-02,Partner,8
2024-01-03,Organic,27
2024-01-03,Google,12
2024-01-03,LinkedIn,6
2024-01-03,Facebook,7
2024-01-03,Referral,8
2024-01-03,Email,1
2024-01-03,Direct,7
2024-01-03,Partner,19
2024-01-04,Organic,30
2024-01-04,Google,15
2024-01-04,LinkedIn,12
2024-01-04,Facebook,2
2024-01-04,Referral,8
2024-01-04,Email,2
2024-01-04,Direct,3
2024-01-04,Partner,11
2024-01-05,Organic,27
2024-01-05,Google,10
2024-01-05,LinkedIn,25
2024-01-05,Facebook,5
2024-01-05,Referral,5
2024-01-05,Email,3
2024-01-05,Direct,3
2024-01-05,Partner,6
2024-01-06,Organic,23
2024-01-06,Google,12
2024-01-06,LinkedIn,15
2024-01-06,Facebook,7
2024-01-06,Referral,9
2024-01-06,Email,2
2024-01-06,Direct,6
2024-01-06,Partner,15
2024-01-07,Organic,24
2024-01-07,Google,15
2024-01-07,LinkedIn,18
2024-01-07,Facebook,3
2024-01-07,Referral,10
2024-01-07,Email,8
2024-01-07,Direct,0
2024-01-07,Partner,3
2024-01-08,Organic,29
2024-01-08,Google,12
2024-01-08,LinkedIn,18
2024-01-08,Facebook,5
2024-01-08,Referral,9
2024-01-08,Email,1
2024-01-08,Direct,5
2024-01-08,Partner,11
2024-01-09,Organic,20
2024-01-09,Google,9
2024-01-09,LinkedIn,16
2024-01-09,Facebook,3
2024-01-09,Referral,12
2024-01-09,Email,1
2024-01-09,Direct,1
2024-01-09,Partner,11
2024-01-10,Organic,24
2024-01-10,Google,11
2024-01-10,LinkedIn,4
2024-01-10,Facebook,5
2024-01-10,Referral,7
2024-01-10,Email,1
2024-01-10,Direct,2
2024-01-10,Partner,14
2024-01-11,Organic,22
2024-01-11,Google,14
2024-01-11,LinkedIn,14
2024-01-11,Facebook,9
2024-01-11,Referral,5
2024-01-11,Email,3
2024-01-11,Direct,0
2024-01-11,Partner,3
2024-01-12,Organic,24
2024-01-12,Google,16
2024-01-12,LinkedIn,15
2024-01-12,Facebook,8
2024-01-12,Referral,12
2024-01-12,Email,9
2024-01-12,Direct,0
2024-01-12,Partner,16
2024-01-13,Organic,31
2024-01-13,Google,14
2024-01-13,LinkedIn,15
2024-01-13,Facebook,4
2024-01-13,Referral,14
2024-01-13,Email,1
2024-01-13,Direct,6
2024-01-13,Partner,4
