date,channel,device,country,visitors
2024-01-01,Organic,Mobile,USA,974
2024-01-01,Google,Desktop,Australia,639
2024-01-01,LinkedIn,Tablet,Germany,476
2024-01-01,Facebook,Desktop,Germany,565
2024-01-01,Referral,Desktop,India,154
2024-01-01,Email,Desktop,Germany,50
2024-01-01,Direct,Tablet,India,273
2024-01-01,Partner,Mobile,Australia,50
2024-01-02,Organic,Mobile,USA,855
2024-01-02,Google,Desktop,Germany,655
2024-01-02,LinkedIn,Mobile,UK,356
2024-01-02,Facebook,Desktop,Germany,284
2024-01-02,Referral,Desktop,USA,271
2024-01-02,Email,Mobile,Germany,50
2024-01-02,Direct,Desktop,India,350
2024-01-02,Partner,Mobile,Australia,145
2024-01-03,Organic,Desktop,Germany,1016
2024-01-03,Google,Desktop,Australia,579
2024-01-03,LinkedIn,Mobile,India,138
2024-01-03,Facebook,Mobile,UK,541
2024-01-03,Referral,Mobile,Germany,208
2024-01-03,Email,Desktop,Australia,56
2024-01-03,Direct,Desktop,Australia,361
2024-01-03,Partner,Mobile,Australia,323
2024-01-04,Organic,Desktop,USA,1124
2024-01-04,Google,Desktop,India,710
2024-01-04,LinkedIn,Desktop,Australia,253
2024-01-04,Facebook,Desktop,Australia,151
2024-01-04,Referral,Mobile,Australia,208
2024-01-04,Email,Desktop,Germany,85
2024-01-04,Direct,Desktop,USA,160
2024-01-04,Partner,Desktop,India,196
2024-01-05,Organic,Desktop,UK,1027
2024-01-05,Google,Desktop,India,463
2024-01-05,LinkedIn,Desktop,UK,531
2024-01-05,Facebook,Desktop,India,426
2024-01-05,Referral,Desktop,USA,140
2024-01-05,Email,Desktop,India,128
2024-01-05,Direct,Mobile,USA,173
2024-01-05,Partner,Desktop,Germany,107
2024-01-06,Organic,Mobile,Australia,867
2024-01-06,Google,Mobile,UK,556
2024-01-06,LinkedIn,Desktop,Australia,316
2024-01-06,Facebook,Desktop,Germany,531
2024-01-06,Referral,Mobile,Germany,241
2024-01-06,Email,Desktop,USA,95
2024-01-06,Direct,Desktop,USA,312
2024-01-06,Partner,Mobile,USA,258
2024-01-07,Organic,Tablet,Germany,901
2024-01-07,Google,Mobile,India,716
2024-01-07,LinkedIn,Mobile,India,384
2024-01-07,Facebook,Desktop,Germany,290
2024-01-07,Referral,Desktop,UK,273
2024-01-07,Email,Desktop,USA,277
2024-01-07,Direct,Desktop,Germany,50
2024-01-07,Partner,Desktop,Germany,50
2024-01-08,Organic,Desktop,Germany,1101
2024-01-08,Google,Mobile,Australia,549
2024-01-08,LinkedIn,Desktop,India,376
2024-01-08,Facebook,Desktop,Australia,445
2024-01-08,Referral,Mobile,India,239
2024-01-08,Email,Desktop,Australia,50
2024-01-08,Direct,Desktop,Australia,289
2024-01-08,Partner,Tablet,Germany,195
2024-01-09,Organic,Desktop,USA,772
2024-01-09,Google,Mobile,USA,432
2024-01-09,LinkedIn,Desktop,USA,335
2024-01-09,Facebook,Mobile,India,287
2024-01-09,Referral,Desktop,USA,302
2024-01-09,Email,Mobile,Australia,50
2024-01-09,Direct,Desktop,Germany,62
2024-01-09,Partner,Desktop,USA,194
2024-01-10,Organic,Desktop,Australia,924
2024-01-10,Google,Mobile,India,531
2024-01-10,LinkedIn,Mobile,Germany,106
2024-01-10,Facebook,Desktop,Australia,399
2024-01-10,Referral,Desktop,Australia,183
2024-01-10,Email,Mobile,UK,50
2024-01-10,Direct,Desktop,Australia,140
2024-01-10,Partner,Desktop,India,247
2024-01-11,Organic,Desktop,India,844
2024-01-11,Google,Desktop,Australia,683
2024-01-11,LinkedIn,Desktop,Germany,296
2024-01-11,Facebook,Desktop,India,697
2024-01-11,Referral,Desktop,Germany,137
2024-01-11,Email,Desktop,USA,110
2024-01-11,Direct,Desktop,USA,50
2024-01-11,Partner,Mobile,USA,50
2024-01-12,Organic,Mobile,USA,900
2024-01-12,Google,Mobile,UK,773
2024-01-12,LinkedIn,Desktop,Australia,331
