user_id,signup_date,channel,device,country,plan_type,last_stage,stage_order,converted_paid,monthly_revenue
1,2024-04-09,paid_ads,tablet,Australia,professional,completed_profile,4,0,0
2,2025-01-20,organic_search,mobile,USA,professional,visited_site,1,0,0
3,2025-07-14,organic_search,desktop,India,professional,visited_site,1,0,0
4,2025-05-19,paid_ads,desktop,USA,enterprise,activated_feature,5,0,0
5,2024-11-11,organic_search,mobile,USA,starter,visited_site,1,0,0
6,2025-03-03,paid_ads,desktop,USA,starter,signed_up,2,0,0
7,2024-01-02,paid_ads,desktop,Canada,starter,visited_site,1,0,0
8,2025-07-09,paid_ads,desktop,UK,starter,visited_site,1,0,0
9,2024-02-22,direct,mobile,UK,enterprise,converted_paid,7,1,478
10,2024-03-05,paid_ads,desktop,UK,starter,visited_site,1,0,0
11,2025-02-22,organic_search,desktop,India,starter,completed_onboard,3,0,0
12,2024-02-02,social_media,desktop,India,starter,visited_site,1,0,0
13,2025-06-30,organic_search,desktop,India,professional,visited_site,1,0,0
14,2025-02-01,paid_ads,desktop,Germany,professional,visited_site,1,0,0
15,2025-07-17,paid_ads,mobile,India,starter,completed_onboard,3,0,0
16,2025-06-24,paid_ads,mobile,USA,professional,visited_site,1,0,0
17,2025-07-10,organic_search,desktop,India,starter,visited_site,1,0,0
18,2024-11-26,organic_search,desktop,UK,starter,visited_site,1,0,0
19,2025-09-24,organic_search,desktop,India,enterprise,signed_up,2,0,0
20,2025-11-07,referral,mobile,USA,professional,visited_site,1,0,0
21,2025-11-22,social_media,desktop,USA,starter,signed_up,2,0,0
22,2024-04-22,paid_ads,tablet,Brazil,starter,visited_site,1,0,0
23,2024-08-12,organic_search,tablet,India,enterprise,visited_site,1,0,0
24,2024-09-03,social_media,mobile,UK,starter,visited_site,1,0,0
25,2025-09-01,social_media,mobile,USA,professional,visited_site,1,0,0
26,2025-02-06,social_media,mobile,USA,professional,activated_feature,5,0,0
27,2025-10-01,social_media,mobile,India,starter,visited_site,1,0,0
28,2024-09-19,paid_ads,mobile,Germany,professional,completed_onboard,3,0,0
29,2024-02-06,social_media,mobile,UK,professional,completed_onboard,3,0,0
30,2025-02-07,referral,desktop,India,professional,visited_site,1,0,0
31,2024-09-10,referral,mobile,Germany,starter,signed_up,2,0,0
32,2024-06-11,organic_search,desktop,Germany,starter,signed_up,2,0,0
33,2025-01-26,social_media,desktop,Germany,starter,signed_up,2,0,0
34,2025-01-09,referral,mobile,UK,starter,visited_site,1,0,0
35,2024-01-27,organic_search,mobile,Brazil,starter,visited_site,1,0,0
36,2025-10-20,social_media,mobile,UK,starter,signed_up,2,0,0
37,2024-02-15,paid_ads,mobile,USA,enterprise,visited_site,1,0,0
38,2024-06-29,referral,desktop,USA,enterprise,visited_site,1,0,0
39,2024-11-18,paid_ads,tablet,USA,starter,started_trial,6,0,0
40,2024-04-13,paid_ads,desktop,Germany,enterprise,completed_onboard,3,0,0
41,2025-02-11,social_media,mobile,India,starter,visited_site,1,0,0
42,2025-05-26,referral,mobile,UK,professional,visited_site,1,0,0
43,2025-12-27,paid_ads,desktop,Canada,starter,visited_site,1,0,0
44,2025-07-23,social_media,desktop,USA,enterprise,visited_site,1,0,0
45,2025-09-11,organic_search,desktop,Canada,starter,completed_onboard,3,0,0
46,2025-10-17,social_media,desktop,USA,professional,visited_site,1,0,0
47,2024-05-06,direct,mobile,India,professional,activated_feature,5,0,0
48,2025-07-13,social_media,desktop,USA,starter,signed_up,2,0,0
49,2025-08-03,organic_search,tablet,Germany,professional,visited_site,1,0,0
50,2025-11-27,social_media,desktop,USA,starter,visited_site,1,0,0
51,2025-03-28,organic_search,desktop,USA,starter,visited_site,1,0,0
52,2024-06-28,paid_ads,desktop,UK,starter,activated_feature,5,0,0
53,2025-05-30,paid_ads,mobile,UK,enterprise,visited_site,1,0,0
54,2025-10-25,social_media,tablet,Brazil,enterprise,visited_site,1,0,0
55,2024-09-24,social_media,mobile,USA,professional,visited_site,1,0,0
56,2024-03-30,paid_ads,tablet,Canada,starter,activated_feature,5,0,0
57,2025-05-07,organic_search,mobile,USA,professional,completed_onboard,3,0,0
58,2025-04-01,direct,desktop,India,enterprise,visited_site,1,0,0
59,2025-10-24,paid_ads,mobile,Australia,starter,signed_up,2,0,0
60,2024-09-29,direct,mobile,India,professional,visited_site,1,0,0
61,2024-03-16,paid_ads,desktop,India,starter,completed_onboard,3,0,0
62,2024-05-23,paid_ads,tablet,Germany,starter,visited_site,1,0,0
