month,visitor_target,signup_target,mrr_target
2024-01,71471,6634,275259
2024-02,64263,6768,128147
2024-03,110309,7355,177914
2024-04,102451,8510,485023
2024-05,61559,5984,358808
2024-06,113728,2913,440737
2024-07,54952,3191,494576
2024-08,111726,5162,102048
2024-09,90610,8852,143935
2024-10,52153,6617,253554
2024-11,58019,8648,217884
2024-12,87929,5198,453343
2025-01,67028,6809,264045
2025-02,84620,8291,209982
2025-03,98474,3419,155885
2025-04,60623,3406,380205
2025-05,53809,5710,177015
2025-06,101046,6228,209508
2025-07,112496,5219,217700
2025-08,81739,6166,275669
2025-09,103452,7395,241964
2025-10,56977,4864,386075
2025-11,84838,3292,200175
2025-12,118192,3075,386798
