Year,Quarter,Month,Day,month_number,Sum of retention_rate
2024,Qtr 1,January,1,0,101
2024,Qtr 1,January,1,1,93
2024,Qtr 1,January,1,2,89
2024,Qtr 1,January,1,3,81
2024,Qtr 1,January,1,4,77
2024,Qtr 1,January,1,5,72
2024,Qtr 1,January,1,6,66
2024,Qtr 1,January,1,7,57
2024,Qtr 1,January,1,8,52
2024,Qtr 1,January,1,9,48
2024,Qtr 1,January,1,10,38
2024,Qtr 1,January,1,11,32
2024,Qtr 1,January,1,12,29
2024,Qtr 1,February,1,0,100
2024,Qtr 1,February,1,1,95
2024,Qtr 1,February,1,2,87
2024,Qtr 1,February,1,3,84
2024,Qtr 1,February,1,4,76
2024,Qtr 1,February,1,5,71
2024,Qtr 1,February,1,6,65
2024,Qtr 1,February,1,7,56
2024,Qtr 1,February,1,8,51
2024,Qtr 1,February,1,9,47
2024,Qtr 1,February,1,10,38
2024,Qtr 1,February,1,11,34
2024,Qtr 1,February,1,12,29
2024,Qtr 1,March,1,0,98
2024,Qtr 1,March,1,1,93
2024,Qtr 1,March,1,2,90
2024,Qtr 1,March,1,3,82
2024,Qtr 1,March,1,4,77
2024,Qtr 1,March,1,5,68
2024,Qtr 1,March,1,6,65
2024,Qtr 1,March,1,7,60
2024,Qtr 1,March,1,8,53
2024,Qtr 1,March,1,9,47
2024,Qtr 1,March,1,10,38
2024,Qtr 1,March,1,11,36
2024,Qtr 1,March,1,12,28
2024,Qtr 2,April,1,0,98
2024,Qtr 2,April,1,1,96
2024,Qtr 2,April,1,2,90
2024,Qtr 2,April,1,3,83
2024,Qtr 2,April,1,4,75
2024,Qtr 2,April,1,5,69
2024,Qtr 2,April,1,6,64
2024,Qtr 2,April,1,7,59
2024,Qtr 2,April,1,8,51
2024,Qtr 2,April,1,9,44
2024,Qtr 2,April,1,10,40
2024,Qtr 2,April,1,11,35
2024,Qtr 2,April,1,12,26
2024,Qtr 2,May,1,0,99
2024,Qtr 2,May,1,1,93
2024,Qtr 2,May,1,2,87
2024,Qtr 2,May,1,3,81
2024,Qtr 2,May,1,4,78
2024,Qtr 2,May,1,5,70
2024,Qtr 2,May,1,6,64
2024,Qtr 2,May,1,7,57
2024,Qtr 2,May,1,8,52
2024,Qtr 2,May,1,9,44
2024,Qtr 2,May,1,10,38
2024,Qtr 2,May,1,11,34
2024,Qtr 2,May,1,12,27
2024,Qtr 2,June,1,0,101
2024,Qtr 2,June,1,1,93
2024,Qtr 2,June,1,2,90
2024,Qtr 2,June,1,3,83
2024,Qtr 2,June,1,4,78
2024,Qtr 2,June,1,5,70
2024,Qtr 2,June,1,6,66
2024,Qtr 2,June,1,7,58
2024,Qtr 2,June,1,8,54
2024,Qtr 2,June,1,9,47
2024,Qtr 2,June,1,10,42
2024,Qtr 2,June,1,11,33
2024,Qtr 2,June,1,12,28
2024,Qtr 3,July,1,0,98
2024,Qtr 3,July,1,1,96
2024,Qtr 3,July,1,2,88
2024,Qtr 3,July,1,3,80
2024,Qtr 3,July,1,4,76
2024,Qtr 3,July,1,5,70
2024,Qtr 3,July,1,6,62
2024,Qtr 3,July,1,7,56
2024,Qtr 3,July,1,8,53
2024,Qtr 3,July,1,9,48
2024,Qtr 3,July,1,10,42
2024,Qtr 3,July,1,11,34
2024,Qtr 3,July,1,12,27
2024,Qtr 3,August,1,0,99
2024,Qtr 3,August,1,1,94
2024,Qtr 3,August,1,2,89
2024,Qtr 3,August,1,3,80
2024,Qtr 3,August,1,4,76
2024,Qtr 3,August,1,5,72
2024,Qtr 3,August,1,6,63
2024,Qtr 3,August,1,7,57
2024,Qtr 3,August,1,8,51
2024,Qtr 3,August,1,9,47
2024,Qtr 3,August,1,10,42
2024,Qtr 3,August,1,11,35
2024,Qtr 3,August,1,12,26
2024,Qtr 3,September,1,0,100
2024,Qtr 3,September,1,1,94
2024,Qtr 3,September,1,2,87
2024,Qtr 3,September,1,3,81
2024,Qtr 3,September,1,4,74
2024,Qtr 3,September,1,5,71
2024,Qtr 3,September,1,6,66
2024,Qtr 3,September,1,7,56
2024,Qtr 3,September,1,8,52
2024,Qtr 3,September,1,9,46
2024,Qtr 3,September,1,10,41
2024,Qtr 3,September,1,11,32
2024,Qtr 3,September,1,12,30
2024,Qtr 4,October,1,0,98
2024,Qtr 4,October,1,1,92
2024,Qtr 4,October,1,2,89
2024,Qtr 4,October,1,3,84
2024,Qtr 4,October,1,4,76
2024,Qtr 4,October,1,5,69
2024,Qtr 4,October,1,6,66
2024,Qtr 4,October,1,7,58
2024,Qtr 4,October,1,8,53
2024,Qtr 4,October,1,9,48
2024,Qtr 4,October,1,10,42
2024,Qtr 4,October,1,11,34
2024,Qtr 4,October,1,12,28
2024,Qtr 4,November,1,0,98
2024,Qtr 4,November,1,1,92
2024,Qtr 4,November,1,2,90
2024,Qtr 4,November,1,3,81
2024,Qtr 4,November,1,4,77
2024,Qtr 4,November,1,5,70
